Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
B1__MNB	0	0.9400647948164147	1.0	0.9691065961591985	13928
B1__MNB	1	0.0	0.0	0.0	888
B1__MNB	macro_moyenne	0.47003239740820735	0.5	0.48455329807959924	_
B6__MNB	0	0.9408324265505985	0.49662550258472143	0.650093984962406	13928
B6__MNB	1	0.060691318327974274	0.5101351351351351	0.10847701149425287	888
B6__MNB	macro_moyenne	0.5007618724392864	0.5033803188599283	0.37928549822832947	_
B7__MNB	0	0.9418906015550402	0.49576392877656517	0.6496072251752198	13928
B7__MNB	1	0.06172344689378757	0.5202702702702703	0.11035471157291292	888
B7__MNB	macro_moyenne	0.5018070242244139	0.5080170995234177	0.37998096837406636	_
B2__MNB	0	0.9368925393566051	0.4913842619184377	0.6446569019921821	13928
B2__MNB	1	0.05684995340167754	0.48085585585585583	0.10167877128229551	888
B2__MNB	macro_moyenne	0.4968712463791413	0.48612005888714677	0.3731678366372388	_
B3__MNB	0	0.9609313338595107	0.8741384261918438	0.9154823670952703	13928
B3__MNB	1	0.1831314072693383	0.44256756756756754	0.25906394199077126	888
B3__MNB	macro_moyenne	0.5720313705644244	0.6583529968797057	0.5872731545430208	_
B5__MNB	0	0.9364490316595152	0.5797673750717978	0.7161544942574608	13928
B5__MNB	1	0.05490069433231067	0.38288288288288286	0.09603163395000705	888
B5__MNB	macro_moyenne	0.49567486299591296	0.4813251289773403	0.4060930641037339	_
B4__MNB	0	0.9531858480404342	0.8259620907524411	0.8850251952148325	13928
B4__MNB	1	0.11758281761922097	0.36373873873873874	0.17771664374140303	888
B4__MNB	macro_moyenne	0.5353843328298276	0.59485041474559	0.5313709194781178	_
