Modèles	Étiquettes	Nombre d'occurences	Précision	Rappel	F-mesure
B1__MNB	0	13928	0.9400647948164147	1.0	0.9691065961591985
B1__MNB	1	888	0.0	0.0	0.0
B6__MNB	0	13928	0.9408324265505985	0.49662550258472143	0.650093984962406
B6__MNB	1	888	0.060691318327974274	0.5101351351351351	0.10847701149425287
B2__MNB	0	13928	0.9368925393566051	0.4913842619184377	0.6446569019921821
B2__MNB	1	888	0.05684995340167754	0.48085585585585583	0.10167877128229551
B3__MNB	0	13928	0.9609313338595107	0.8741384261918438	0.9154823670952703
B3__MNB	1	888	0.1831314072693383	0.44256756756756754	0.25906394199077126
B5__MNB	0	13928	0.9364490316595152	0.5797673750717978	0.7161544942574608
B5__MNB	1	888	0.05490069433231067	0.38288288288288286	0.09603163395000705
B4__MNB	0	13928	0.9531858480404342	0.8259620907524411	0.8850251952148325
B4__MNB	1	888	0.11758281761922097	0.36373873873873874	0.17771664374140303
