Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
len=4,6_DT10_abs-freq_	0	0.9674819737028135	0.9826249282021826	0.9749946569779868	13928
len=4,6_DT10_abs-freq_	1	0.6388059701492538	0.481981981981982	0.5494223363286265	888
len=4,6_DT10_abs-freq_	macro_moyenne	0.8031439719260336	0.7323034550920823	0.7622084966533067	_
len=6,10_DT10_abs-freq_	0	0.9692976207436956	0.9769529006318208	0.9731102052492311	13928
len=6,10_DT10_abs-freq_	1	0.5874035989717223	0.5146396396396397	0.5486194477791118	888
len=6,10_DT10_abs-freq_	macro_moyenne	0.778350609857709	0.7457962701357302	0.7608648265141714	_
len=1,6_DT10_abs-freq_	0	0.9764324324324324	0.972716829408386	0.9745710894507786	13928
len=1,6_DT10_abs-freq_	1	0.5961742826780021	0.6317567567567568	0.6134499726626572	888
len=1,6_DT10_abs-freq_	macro_moyenne	0.7863033575552172	0.8022367930825713	0.7940105310567179	_
len=7,7_DT10_abs-freq_	0	0.968345426091905	0.9773836875358989	0.9728435646394626	13928
len=7,7_DT10_abs-freq_	1	0.5844327176781002	0.4988738738738739	0.5382746051032807	888
len=7,7_DT10_abs-freq_	macro_moyenne	0.7763890718850026	0.7381287807048864	0.7555590848713717	_
len=2,7_DT10_abs-freq_	0	0.9702351353271293	0.9806145893164848	0.9753972504909838	13928
len=2,7_DT10_abs-freq_	1	0.6346414073071719	0.5281531531531531	0.576521204671174	888
len=2,7_DT10_abs-freq_	macro_moyenne	0.8024382713171506	0.754383871234819	0.7759592275810789	_
len=2,4_DT10_abs-freq_	0	0.970423035904728	0.9799684089603676	0.9751723645197014	13928
len=2,4_DT10_abs-freq_	1	0.6284953395472703	0.5315315315315315	0.575960951799878	888
len=2,4_DT10_abs-freq_	macro_moyenne	0.7994591877259991	0.7557499702459496	0.7755666581597898	_
len=2,9_DT10_abs-freq_	0	0.9702160932613022	0.9799684089603676	0.9750678668381197	13928
len=2,9_DT10_abs-freq_	1	0.6270053475935828	0.5281531531531531	0.5733496332518337	888
len=2,9_DT10_abs-freq_	macro_moyenne	0.7986107204274425	0.7540607810567603	0.7742087500449768	_
len=7,9_DT10_abs-freq_	0	0.9700757034709327	0.9752297530155083	0.9726459004654494	13928
len=7,9_DT10_abs-freq_	1	0.5761670761670762	0.5281531531531531	0.5511163337250293	888
len=7,9_DT10_abs-freq_	macro_moyenne	0.7731213898190045	0.7516914530843307	0.7618811170952393	_
len=4,10_DT10_abs-freq_	0	0.9676141988403337	0.9824813325674899	0.9749910936943356	13928
len=4,10_DT10_abs-freq_	1	0.6379821958456974	0.48423423423423423	0.5505761843790012	888
len=4,10_DT10_abs-freq_	macro_moyenne	0.8027981973430156	0.7333577834008621	0.7627836390366685	_
len=8,9_DT10_abs-freq_	0	0.9697885196374623	0.9679781734635267	0.9688825008983112	13928
len=8,9_DT10_abs-freq_	1	0.5120350109409191	0.527027027027027	0.5194228634850165	888
len=8,9_DT10_abs-freq_	macro_moyenne	0.7409117652891907	0.7475026002452768	0.7441526821916639	_
len=1,5_DT10_abs-freq_	0	0.9762934140366047	0.9727886272257323	0.9745378695245631	13928
len=1,5_DT10_abs-freq_	1	0.5959488272921108	0.6295045045045045	0.6122672508214676	888
len=1,5_DT10_abs-freq_	macro_moyenne	0.7861211206643578	0.8011465658651185	0.7934025601730154	_
len=1,8_DT10_abs-freq_	0	0.9762951221269544	0.9728604250430787	0.9745747473657712	13928
len=1,8_DT10_abs-freq_	1	0.5965848452508005	0.6295045045045045	0.6126027397260274	888
len=1,8_DT10_abs-freq_	macro_moyenne	0.7864399836888774	0.8011824647737915	0.7935887435458993	_
len=4,8_DT10_abs-freq_	0	0.967621067515023	0.982696726019529	0.975100630499056	13928
