Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
len=2,4_DT10_rel-freq_	0	0.9751983417911515	0.9796094198736358	0.9773989039722053	13928
len=2,4_DT10_rel-freq_	1	0.6557575757575758	0.6092342342342343	0.63164039696439	888
len=2,4_DT10_rel-freq_	macro_moyenne	0.8154779587743637	0.794421827053935	0.8045196504682977	_
len=2,9_DT10_rel-freq_	0	0.9750518264350562	0.9793222286042504	0.9771823620016479	13928
len=2,9_DT10_rel-freq_	1	0.6517533252720678	0.6069819819819819	0.6285714285714286	888
len=2,9_DT10_rel-freq_	macro_moyenne	0.8134025758535619	0.7931521052931162	0.8028768952865382	_
len=7,9_DT10_rel-freq_	0	0.9722954205540916	0.9801838024124067	0.97622367621295	13928
len=7,9_DT10_rel-freq_	1	0.6438709677419355	0.5619369369369369	0.6001202645820807	888
len=7,9_DT10_rel-freq_	macro_moyenne	0.8080831941480136	0.7710603696746718	0.7881719703975154	_
len=4,10_DT10_rel-freq_	0	0.9743754461099214	0.9801120045950603	0.9772353067506622	13928
len=4,10_DT10_rel-freq_	1	0.6563275434243176	0.5957207207207207	0.6245572609208973	888
len=4,10_DT10_rel-freq_	macro_moyenne	0.8153514947671195	0.7879163626578904	0.8008962838357797	_
len=1,5_DT10_rel-freq_	0	0.9744689980690839	0.9783170591614015	0.9763892372183012	13928
len=1,5_DT10_rel-freq_	1	0.6374549819927972	0.597972972972973	0.6170830912260316	888
len=1,5_DT10_rel-freq_	macro_moyenne	0.8059619900309405	0.7881450160671872	0.7967361642221664	_
len=1,8_DT10_rel-freq_	0	0.9748944996781346	0.9786042504307869	0.9767458525923538	13928
len=1,8_DT10_rel-freq_	1	0.6431137724550898	0.6047297297297297	0.6233313987231573	888
len=1,8_DT10_rel-freq_	macro_moyenne	0.8090041360666123	0.7916669900802583	0.8000386256577556	_
len=8,9_DT10_rel-freq_	0	0.9724973281083007	0.9799684089603676	0.9762185745449344	13928
len=8,9_DT10_rel-freq_	1	0.6427656850192062	0.5653153153153153	0.6015578190533253	888
len=8,9_DT10_rel-freq_	macro_moyenne	0.8076315065637534	0.7726418621378415	0.7888881967991299	_
len=4,8_DT10_rel-freq_	0	0.9751410815058218	0.9801120045950603	0.9776202241558348	13928
len=4,8_DT10_rel-freq_	1	0.6609547123623011	0.6081081081081081	0.6334310850439883	888
len=4,8_DT10_rel-freq_	macro_moyenne	0.8180478969340614	0.7941100563515842	0.8055256545999115	_
len=4,5_DT10_rel-freq_	0	0.975210744392056	0.9801120045950603	0.9776552316837357	13928
len=4,5_DT10_rel-freq_	1	0.6613691931540342	0.6092342342342343	0.634232121922626	888
len=4,5_DT10_rel-freq_	macro_moyenne	0.8182899687730452	0.7946731194146472	0.8059436768031809	_
len=4,6_DT10_rel-freq_	0	0.975210744392056	0.9801120045950603	0.9776552316837357	13928
len=4,6_DT10_rel-freq_	1	0.6613691931540342	0.6092342342342343	0.634232121922626	888
len=4,6_DT10_rel-freq_	macro_moyenne	0.8182899687730452	0.7946731194146472	0.8059436768031809	_
len=6,10_DT10_rel-freq_	0	0.9720025646505663	0.9796094198736358	0.975791167530842	13928
len=6,10_DT10_rel-freq_	1	0.6354300385109114	0.5574324324324325	0.593881223755249	888
len=6,10_DT10_rel-freq_	macro_moyenne	0.8037163015807389	0.7685209261530341	0.7848361956430455	_
len=1,6_DT10_rel-freq_	0	0.973689854865232	0.977814474439977	0.9757478058391545	13928
len=1,6_DT10_rel-freq_	1	0.6272617611580217	0.5855855855855856	0.6057076295864882	888
len=1,6_DT10_rel-freq_	macro_moyenne	0.8004758080116268	0.7817000300127813	0.7907277177128214	_
len=7,7_DT10_rel-freq_	0	0.972431970366149	0.9801120045950603	0.9762568833583637	13928
len=7,7_DT10_rel-freq_	1	0.6439588688946015	0.5641891891891891	0.6014405762304922	888
len=7,7_DT10_rel-freq_	macro_moyenne	0.8081954196303753	0.7721505968921247	0.788848729794428	_
len=2,7_DT10_rel-freq_	0	0.9741520885398072	0.9795376220562895	0.9768374324275946	13928
len=2,7_DT10_rel-freq_	1	0.6485819975339088	0.5923423423423423	0.6191877575044143	888
len=2,7_DT10_rel-freq_	macro_moyenne	0.811367043036858	0.7859399821993158	0.7980125949660044	_
