Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
1_5_relFreq_MNB	0	0.9402511477180664	0.9999282021826537	0.9691718858733472	13928
1_5_relFreq_MNB	1	0.75	0.0033783783783783786	0.006726457399103139	888
1_5_relFreq_MNB	macro_moyenne	0.8451255738590332	0.501653290280516	0.4879491716362252	_
1_2_relFreq_MNB	0	0.9400647948164147	1.0	0.9691065961591985	13928
1_2_relFreq_MNB	1	0.0	0.0	0.0	888
1_2_relFreq_MNB	macro_moyenne	0.47003239740820735	0.5	0.48455329807959924	_
1_3_relFreq_MNB	0	0.942203573362209	0.9995692130959218	0.9700390189520623	13928
1_3_relFreq_MNB	1	0.85	0.038288288288288286	0.0732758620689655	888
1_3_relFreq_MNB	macro_moyenne	0.8961017866811045	0.5189287506921051	0.5216574405105139	_
1_4_relFreq_MNB	0	0.9406917049446095	0.9998564043653073	0.9693721286370598	13928
1_4_relFreq_MNB	1	0.8333333333333334	0.01126126126126126	0.022222222222222223	888
1_4_relFreq_MNB	macro_moyenne	0.8870125191389715	0.5055588328132843	0.495797175429641	_
1_1_relFreq_MNB	0	0.9400647948164147	1.0	0.9691065961591985	13928
1_1_relFreq_MNB	1	0.0	0.0	0.0	888
1_1_relFreq_MNB	macro_moyenne	0.47003239740820735	0.5	0.48455329807959924	_
