Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
len=3,5_MNB_rel-freq_	0	0.9415105821894652	0.9997128087306146	0.9697391788835882	13928
len=3,5_MNB_rel-freq_	1	0.8518518518518519	0.0259009009009009	0.05027322404371584	888
len=3,5_MNB_rel-freq_	macro_moyenne	0.8966812170206585	0.5128068548157577	0.510006201463652	_
len=2,5_MNB_rel-freq_	0	0.9420201610175225	0.9997128087306146	0.970009404716291	13928
len=2,5_MNB_rel-freq_	1	0.8857142857142857	0.03490990990990991	0.06717226435536294	888
len=2,5_MNB_rel-freq_	macro_moyenne	0.9138672233659041	0.5173113593202623	0.518590834535827	_
len=1,5_MNB_rel-freq_	0	0.9402511477180664	0.9999282021826537	0.9691718858733472	13928
len=1,5_MNB_rel-freq_	1	0.75	0.0033783783783783786	0.006726457399103139	888
len=1,5_MNB_rel-freq_	macro_moyenne	0.8451255738590332	0.501653290280516	0.4879491716362252	_
len=4,4_MNB_rel-freq_	0	0.9400647948164147	1.0	0.9691065961591985	13928
len=4,4_MNB_rel-freq_	1	0.0	0.0	0.0	888
len=4,4_MNB_rel-freq_	macro_moyenne	0.47003239740820735	0.5	0.48455329807959924	_
len=1,1_MNB_rel-freq_	0	0.9400647948164147	1.0	0.9691065961591985	13928
len=1,1_MNB_rel-freq_	1	0.0	0.0	0.0	888
len=1,1_MNB_rel-freq_	macro_moyenne	0.47003239740820735	0.5	0.48455329807959924	_
len=4,10_MNB_rel-freq_	0	0.9450631536058671	0.9992102240091901	0.9713827039854819	13928
len=4,10_MNB_rel-freq_	1	0.8777777777777778	0.08896396396396396	0.16155419222903883	888
len=4,10_MNB_rel-freq_	macro_moyenne	0.9114204656918224	0.5440870939865771	0.5664684481072604	_
len=3,4_MNB_rel-freq_	0	0.9400647948164147	1.0	0.9691065961591985	13928
len=3,4_MNB_rel-freq_	1	0.0	0.0	0.0	888
len=3,4_MNB_rel-freq_	macro_moyenne	0.47003239740820735	0.5	0.48455329807959924	_
len=1,10_MNB_rel-freq_	0	0.9403781228899393	0.9999282021826537	0.9692393346788225	13928
len=1,10_MNB_rel-freq_	1	0.8333333333333334	0.00563063063063063	0.011185682326621923	888
len=1,10_MNB_rel-freq_	macro_moyenne	0.8868557281116363	0.5027794164066421	0.4902125085027222	_
