Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
DT10__len=2_sup=0.8	0	0.9411123227917121	0.9294227455485353	0.9352310081999783	13928
DT10__len=2_sup=0.8	1	0.07351555136663525	0.08783783783783784	0.08004104669061057	888
DT10__len=2_sup=0.8	macro_moyenne	0.5073139370791737	0.5086302916931866	0.5076360274452945	_
DT10__len=2_sup=0.9	0	0.9373934226552985	0.8288340034462952	0.8797774644667149	13928
DT10__len=2_sup=0.9	1	0.046781287485006	0.13175675675675674	0.06904691649454117	888
DT10__len=2_sup=0.9	macro_moyenne	0.4920873550701522	0.48029538010152595	0.47441219048062805	_
DT10__len=2_sup=0.7	0	0.9416763509587449	0.9308587018954624	0.9362362796071635	13928
DT10__len=2_sup=0.7	1	0.08110687022900763	0.09572072072072071	0.0878099173553719	888
DT10__len=2_sup=0.7	macro_moyenne	0.5113916105938763	0.5132897113080915	0.5120230984812677	_
DT10__len=2_sup=0.6	0	0.9450787254682487	0.9093193566915566	0.9268542573822679	13928
DT10__len=2_sup=0.6	1	0.10742049469964664	0.17117117117117117	0.13200173686495875	888
DT10__len=2_sup=0.6	macro_moyenne	0.5262496100839477	0.5402452639313639	0.5294279971236133	_
DT10__len=2_sup=0.4	0	0.9401804302567661	0.972716829408386	0.9561719246241795	13928
DT10__len=2_sup=0.4	1	0.06403940886699508	0.02927927927927928	0.040185471406491494	888
DT10__len=2_sup=0.4	macro_moyenne	0.5021099195618806	0.5009980543438326	0.49817869801533554	_
DT10__len=2_sup=0.5	0	0.9412571263621274	0.9364589316484779	0.9388518985063884	13928
DT10__len=2_sup=0.5	1	0.07716371220020855	0.08333333333333333	0.08012994044396318	888
DT10__len=2_sup=0.5	macro_moyenne	0.509210419281168	0.5098961324909056	0.5094909194751758	_
DT10__len=2_sup=0.1	0	0.9400647948164147	1.0	0.9691065961591985	13928
DT10__len=2_sup=0.1	1	0.0	0.0	0.0	888
DT10__len=2_sup=0.1	macro_moyenne	0.47003239740820735	0.5	0.48455329807959924	_
DT10__len=2_sup=0.2	0	0.941747572815534	0.9889431361286617	0.9647685087903621	13928
DT10__len=2_sup=0.2	1	0.18947368421052632	0.04054054054054054	0.06679035250463823	888
DT10__len=2_sup=0.2	macro_moyenne	0.5656106285130301	0.5147418383346011	0.5157794306475002	_
DT10__len=2_sup=0.3	0	0.9400341442594964	0.9488081562320505	0.9444007718144787	13928
DT10__len=2_sup=0.3	1	0.059366754617414245	0.05067567567567568	0.054678007290400975	888
DT10__len=2_sup=0.3	macro_moyenne	0.4997004494384553	0.4997419159538631	0.4995393895524398	_
