Modèles	Étiquettes	Précision	Rappel	F-mesure	Nombre d'occurences
B3__MNB	0	0.9609313338595107	0.8741384261918438	0.9154823670952703	13928
B3__MNB	1	0.1831314072693383	0.44256756756756754	0.25906394199077126	888
B3__MNB	macro_moyenne	0.5720313705644244	0.6583529968797057	0.5872731545430208	_
len=10,10_MNB_abs-freq_	0	0.9926652254478073	0.9231045376220562	0.9566220238095239	13928
len=10,10_MNB_abs-freq_	1	0.42542918454935624	0.8930180180180181	0.5763081395348838	888
len=10,10_MNB_abs-freq_	macro_moyenne	0.7090472049985818	0.9080612778200372	0.7664650816722038	_
len=3,10_MNB_rel-freq_	0	0.945323643279223	0.9992820218265365	0.9715542214931416	13928
len=3,10_MNB_rel-freq_	1	0.8924731182795699	0.09346846846846847	0.16921508664627932	888
len=3,10_MNB_rel-freq_	macro_moyenne	0.9188983807793965	0.5463752451475025	0.5703846540697105	_
					
B7__MNB (B6+rstr)	0	0.9418906015550402	0.49576392877656517	0.6496072251752198	13928
B7__MNB (B6+rstr)	1	0.06172344689378757	0.5202702702702703	0.11035471157291292	888
B7__MNB (B6+rstr)	macro_moyenne	0.5018070242244139	0.5080170995234177	0.37998096837406636	_
